127.0.0.1 - - [23/Apr/2016:09:47:59 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:00 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:00 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:00 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:00 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:01 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:01 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:03 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "GET /engreview/ HTTP/1.1" 200 4356
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 200 56832
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 200 118957
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "GET /engreview/css/all.css HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 200 12132
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:33 +0700] "POST /engreview/listvocal HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:35 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 19885
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:37 +0700] "GET /engreview/homqua HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:38 +0700] "GET /engreview/homnay HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:39 +0700] "GET /engreview/homkia HTTP/1.1" 200 5803
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:40 +0700] "GET /engreview/homqua HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:40 +0700] "GET /engreview/homkia HTTP/1.1" 200 5803
0:0:0:0:0:0:0:1 - - [23/Apr/2016:09:48:41 +0700] "GET /engreview/homqua HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:12:07 +0700] "GET /engreview/homqua HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:12:08 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 19885
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:14:33 +0700] "GET /engreview/chitiet?id=403 HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:14:33 +0700] "GET /engreview/css/chitiet/chitiet.css HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:14:40 +0700] "GET /engreview/chitiet?id=403 HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 24438
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:02 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 24438
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:22:04 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:23:30 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 23878
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:23:30 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:23:30 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
